name,rating, review_count ,type, install_count ,adoption_rate,primary_genre,content_rating,,,,,,
Clash of Clans,4.6," 44,893,888 ",Free," 100,000,000 ",44.89%,Games,Everyone 10+,,,,,,
Fallout Shelter,4.6," 2,721,923 ",Free," 10,000,000 ",27%,Games,Teen,,,,,,
Angry Birds Epic RPG,4.5," 2,634,605 ",Free," 10,000,000 ",26.35%,Games,Everyone,,,,,,
Clash Royale,4.6," 23,136,735 ",Free," 100,000,000 ",23.14%,Games,Everyone 10+,,,,,,
Fishdom,4.6," 2,158,580 ",Free," 10,000,000 ",21.59%,Games,Everyone,,,,,TOP 10 Install count," 275,000,000 "
Real Basketball,4.5," 1,605,267 ",Free," 10,000,000 ",16.05%,Games,Everyone,,,,,Top 10 AVG rating,4.59
PewDiePie's Tuber Simulator,4.8," 1,499,466 ",Free," 10,000,000 ",15%,Games,Teen,,,,,Top 10 review_count," 82,232,395 "
FINAL FANTASY BRAVE EXVIUS,4.6," 745,684 ",Free," 5,000,000 ",15%,Games,Teen,,,,,,
Star Wars™: Galaxy of Heroes,4.5," 1,461,698 ",Free," 10,000,000 ",14.62%,Games,Everyone 10+,,,,,,
Chase Mobile,4.6," 1,374,549 ",Free," 10,000,000 ",13.75%,Finance,Everyone,,,,,,
My Horse,4.5," 1,333,338 ",Free," 10,000,000 ",13.33%,Games,Everyone,,,,,,
"Egg, Inc.",4.7," 580,160 ",Free," 5,000,000 ",11.60%,Games,Everyone,,,,,,
Boom Beach,4.5," 5,591,653 ",Free," 50,000,000 ",11.18%,Games,Everyone 10+,,,,,,
Shadow Fight 2,4.6," 10,981,850 ",Free," 100,000,000 ",10.98%,Games,Everyone 10+,,,,,,
Cytus,4.7," 541,732 ",Free," 5,000,000 ",10.83%,Games,Everyone,,,,,,
Domino's Pizza USA,4.7," 1,032,935 ",Free," 10,000,000 ",10.33%,Food & Drink,Everyone,,,,,,
Hay Day,4.5," 10,053,186 ",Free," 100,000,000 ",10.05%,Games,Everyone,,,,,,
Zombie Catchers,4.7," 990,796 ",Free," 10,000,000 ",9.91%,Games,Everyone,,,,,,
My Talking Angela,4.5," 9,883,367 ",Free," 100,000,000 ",9.88%,Games,Everyone,,,,,,
Township,4.6," 4,451,317 ",Free," 50,000,000 ",8.90%,Games,Everyone,,,,,,
SimCity BuildIt,4.5," 4,218,587 ",Free," 50,000,000 ",8.44%,Games,Everyone 10+,,,,,,
Asphalt 8: Airborne,4.5," 8,389,714 ",Free," 100,000,000 ",8%,Games,Teen,,,,,,
Choices: Stories You Play,4.6," 807,338 ",Free," 10,000,000 ",8%,Games,Teen,,,,,,
Geometry Dash World,4.6," 760,628 ",Free," 10,000,000 ",7.61%,Games,Everyone,,,,,,
PicsArt Photo Studio: Collage Maker & Pic Editor,4.5," 7,594,559 ",Free," 100,000,000 ",8%,Photo & Video,Teen,,,,,,
WWE,4.5," 736,864 ",Free," 10,000,000 ",7%,Entertainment,Teen,,,,,,
Instagram,4.5," 66,577,446 ",Free," 1,000,000,000 ",7%,Photo & Video,Teen,,,,,,
Trivia Crack,4.5," 6,427,773 ",Free," 100,000,000 ",6.43%,Games,Everyone,,,,,,
Bullet Force,4.5," 634,159 ",Free," 10,000,000 ",6%,Games,Teen,,,,,,
Wish - Shopping Made Fun,4.5," 6,212,081 ",Free," 100,000,000 ",6.21%,Shopping,Everyone,,,,,,
Geometry Dash Lite,4.5," 6,181,640 ",Free," 100,000,000 ",6.18%,Games,Everyone,,,,,,
War Robots,4.6," 3,073,251 ",Free," 50,000,000 ",6.15%,Games,Everyone 10+,,,,,,
Hungry Shark Evolution,4.5," 6,074,627 ",Free," 100,000,000 ",6%,Games,Teen,,,,,,
Score! Hero,4.6," 5,419,676 ",Free," 100,000,000 ",5.42%,Games,Everyone,,,,,,
Traffic Racer,4.5," 5,387,781 ",Free," 100,000,000 ",5.39%,Games,Everyone,,,,,,
Farming Simulator 14,4.5," 530,904 ",Free," 10,000,000 ",5.31%,Games,Everyone,,,,,,
Fernanfloo,4.8," 526,595 ",Free," 10,000,000 ",5.27%,Games,Everyone 10+,,,,,,
Hot Wheels: Race Off,4.5," 520,654 ",Free," 10,000,000 ",5.21%,Games,Everyone,,,,,,
Alto's Adventure,4.6," 515,657 ",Free," 10,000,000 ",5.16%,Games,Everyone,,,,,,
Disney Crossy Road,4.5," 514,088 ",Free," 10,000,000 ",5.14%,Games,Everyone,,,,,,
MARVEL Future Fight,4.6," 2,354,042 ",Free," 50,000,000 ",4.71%,Games,Everyone 10+,,,,,,
Deck Heroes: Legacy,4.7," 466,495 ",Free," 10,000,000 ",5%,Games,Teen,,,,,,
Starbucks,4.5," 455,496 ",Free," 10,000,000 ",4.55%,Food & Drink,Everyone,,,,,,
ROBLOX,4.5," 4,450,890 ",Free," 100,000,000 ",4.45%,Games,Everyone 10+,,,,,,
Pinterest,4.6," 4,305,441 ",Free," 100,000,000 ",4%,Social Networking,Teen,,,,,,
Smash Hit,4.5," 4,147,718 ",Free," 100,000,000 ",4.15%,Games,Everyone,,,,,,
Angry Birds 2,4.6," 3,883,589 ",Free," 100,000,000 ",3.88%,Games,Everyone,,,,,,
Toy Blast,4.7," 1,889,582 ",Free," 50,000,000 ",3.78%,Games,Everyone,,,,,,
Sonic Dash,4.5," 3,778,921 ",Free," 100,000,000 ",3.78%,Games,Everyone,,,,,,
Cooking Fever,4.5," 3,198,176 ",Free," 100,000,000 ",3.20%,Games,Everyone,,,,,,
Geometry Dash Meltdown,4.6," 1,591,129 ",Free," 50,000,000 ",3.18%,Games,Everyone,,,,,,
My Talking Tom,4.5," 14,892,469 ",Free," 500,000,000 ",2.98%,Games,Everyone,,,,,,
Subway Surfers,4.5," 27,725,352 ",Free," 1,000,000,000 ",2.77%,Games,Everyone 10+,,,,,,
Hill Climb Racing 2,4.6," 2,750,645 ",Free," 100,000,000 ",2.75%,Games,Everyone,,,,,,
Earn to Die 2,4.6," 1,327,269 ",Free," 50,000,000 ",3%,Games,Teen,,,,,,
Hungry Shark World,4.5," 1,243,017 ",Free," 50,000,000 ",2%,Games,Teen,,,,,,
Bible,4.7," 2,440,695 ",Free," 100,000,000 ",2%,Reference,Teen,,,,,,
Rolling Sky,4.5," 1,117,212 ",Free," 50,000,000 ",2.23%,Games,Everyone,,,,,,
Toca Kitchen 2,4.5," 1,014,846 ",Free," 50,000,000 ",2.03%,Education,Everyone,,,,,,
Snapseed,4.5," 823,109 ",Free," 50,000,000 ",1.65%,Photo & Video,Everyone,,,,,,
Microsoft Excel,4.5," 1,079,616 ",Free," 100,000,000 ",1.08%,Productivity,Everyone,,,,,,
YouTube Kids,4.5," 470,713 ",Free," 50,000,000 ",0.94%,Entertainment,Everyone,,,,,,
Microsoft PowerPoint,4.5," 618,798 ",Free," 100,000,000 ",0.62%,Productivity,Everyone,,,,,,
Microsoft Word,4.5," 2,084,126 ",Free," 500,000,000 ",0.42%,Productivity,Everyone,,,,,,
